Column1,EPISODE_ID,EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,END_DATE_TIME,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,FLOOD_CAUSE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
98,158048,955718,INDIANA,2021,June,Flash Flood,6/19/21 8:00,100.00K,0.00K,State Official,Heavy Rain,N,AURORA,2,AURORA,39.07,-84.9,39.0377,-84.8949,Thunderstorms developed during the afternoon and evening hours as a low pressure system moved through a warm and humid airmass that was in place across the Ohio Valley.,Numerous reports of high water and flash flooding were received from the Aurora and Guilford areas. Several people and pets were stranded in Guilford due to rising water. Two vehicles were also swept away in the Guilford area after their occupants escaped.,CSV
154,160141,967887,MISSISSIPPI,2021,August,Flash Flood,8/19/21 17:15,4.00K,0.00K,Emergency Manager,Heavy Rain,N,MC CRARY,1,NEW HOPE,33.47,-88.3,33.47,-88.3299,Afternoon showers and thunderstorms developed within a tropical airmass. Some storms were slow moving and produced localized flash flooding.,"Flash flooding occurred on Beersheba Road, Widener Drive and New Hope Road.",CSV
168,163574,987610,GEORGIA,2021,September,Flash Flood,9/20/21 16:00,30.00K,0.00K,Emergency Manager,Heavy Rain,SW,EASTMAN,3,AMOSKEAG,32.1455,-83.2398,32.1432,-83.1975,"Amidst a prolonged wet and soggy period, another round of heavy rainfall over central Georgia triggered isolated flash flooding through the day on September 20th. Though much of the flooding occurred during the first half of the day, another localized report of flash flooding was reported late in the evening with another round of shower activity.","The Emergency Manager relayed multiple reports of flash flooding including road closures and washed out roads in and around the city of Eastman. Some of these reports include Wilson Woodward Road (washed out), from 7th to 9th, MLK Blvd to Cooper Drive, Abbeville Highway, Level Church and near the intersection of Airport Road and Ready Branch Road. Radar estimates indicate that between 4 and 5 inches of rain, with localized areas of up to 8 inches, had fallen over the area in a short period of time, resulting in the flash flooding.",CSV
241,163574,987613,GEORGIA,2021,September,Flash Flood,9/20/21 23:30,30.00K,0.00K,Emergency Manager,Heavy Rain,SSE,HEBRON,3,HEBRON,32.94,-82.98,32.956,-82.9554,"Amidst a prolonged wet and soggy period, another round of heavy rainfall over central Georgia triggered isolated flash flooding through the day on September 20th. Though much of the flooding occurred during the first half of the day, another localized report of flash flooding was reported late in the evening with another round of shower activity.","The Emergency Manager reported a portion of Panther Branch Road was washed out due to heavy rainfall and high water on nearby creeks. Radar estimates indicate that between 4 and 6 inches of rain had fallen over the area in a short period of time, resulting in the flash flooding.",CSV
267,158048,955715,INDIANA,2021,June,Flash Flood,6/19/21 6:30,5.00K,0.00K,Emergency Manager,Heavy Rain,N,BATESVILLE,1,BATESVILLE,39.3,-85.22,39.2862,-85.2288,Thunderstorms developed during the afternoon and evening hours as a low pressure system moved through a warm and humid airmass that was in place across the Ohio Valley.,Numerous roads were closed around Batesville. One water rescue was needed for a motorist who was stranded in their vehicle.,CSV
281,156323,943682,LOUISIANA,2021,February,Flash Flood,2/17/21 16:45,10.00K,0.00K,Emergency Manager,Heavy Rain,WNW,VIDALIA,2,VIDALIA,31.5519,-91.4408,31.5698,-91.415,"As an arctic air mass continued to build southward across the South on February 17th, another wave of precipitation overspread this cold air mass across northeast Louisiana. The main impacts across this portion of the state were from freezing rain and resulting heavy icing, but some significant accumulations of sleet and snow also occurred. Freezing rain continued through the evening hours. Ice accumulated quickly in many locations and downed numerous trees, large limbs, and power lines. Several trees and limbs fell onto power lines, resulting in more widespread power outages as well. Significant impacts to travel and electrical infrastructure occurred in the hardest hit areas. In the Vidalia area, heavy rain flooded several roads due to ice-blocked drainages.",Several streets in Vidalia were flooded over by runoff from heavy rain and ice jammed drainages across town.,CSV
376,160142,967908,LOUISIANA,2021,August,Flash Flood,8/19/21 19:15,1.00K,0.00K,911 Call Center,Heavy Rain,SE,RAYVILLE MUNI ARPT,1,RAYVILLE MUNI ARPT,32.47,-91.76,32.4872,-91.7653,Afternoon showers and thunderstorms developed within a tropical airmass. Some storms were slow moving and produced localized flash flooding.,Flash flooding occurred at the intersection of Julia and Fragala streets in Rayville.,CSV
416,157990,959451,MISSISSIPPI,2021,April,Flash Flood,4/10/21 0:15,7.00K,0.00K,Fire Department/Rescue,Heavy Rain,NNW,WHITFIELD,1,WHITFIELD,32.25,-90.09,32.2459,-90.0889,"Showers and thunderstorms developed in association with a frontal system moving through the region. Some of these storms produced a few tornadoes, hail, and damaging wind gusts.",Flooding occurred in a few spots along Old Whitfield Road. White Blvd between the Country Inn and Suites and Business Center Parkway was impassable. There was an estimated 2.5 feet of water over the road.,CSV
427,156330,949308,MISSISSIPPI,2021,February,Flash Flood,2/17/21 20:00,5.00K,0.00K,Department of Highways,Heavy Rain,NW,BENTONIA,1,JONESTOWN,32.6508,-90.3938,32.8284,-90.4051,"As an arctic air mass continued to build southward across the South on February 17th, another wave of precipitation overspread this cold air mass across much of Mississippi. The main impacts across central and southern portions of the state were from freezing rain and resulting heavy icing, but some significant accumulations of sleet and snow also occurred in areas mainly north and west of the Natchez Trace. Freezing rain continued through the evening hours, ending from west to east by the early morning of February 18th. Ice accumulated quickly in many locations and downed numerous trees, large limbs, and power lines across the affected areas. Several trees and limbs fell onto power lines, resulting in more widespread power outages as well. Some trees fell onto homes or cars, and significant amounts of ice, sleet, and snow collapsed a few gas station awnings and roofs where accumulations were greatest. In the hardest hit areas, extensive damage to trees and power lines took several months and cost several hundred thousands of dollars to clean up.","Embedded in rounds of sleet and freezing rain, a thunderstorm produced heavy rain and flooded portions of U.S. Highway 49 between MS Highway 433 and U.S. Highway 149.",CSV
747,158892,960559,LOUISIANA,2021,May,Flash Flood,5/18/21 6:30,100.00K,0.00K,Fire Department/Rescue,Heavy Rain,W,UNIVERSITY,1,JONES CREEK,30.4197,-91.1998,30.4141,-91.0006,"In the overnight hours on May 17th into the early morning on May 18th, a cluster of slow moving severe thunderstorms associated with a weak mid-level disturbance drifted east across southeastern Louisiana. Ample overnight instability and weak steering flow resulted in damaging wind gusts, flash flooding and a few isolated weak tornadoes.",Numerous vehicles underwater across the southern part of East Baton Rouge parish from earlier flash flooding from heavy rain.,CSV
