FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
200701,16,0,191,6370,"I","01/16/2007 00:00:00",74,"F","Vehicle/Towed Trailer",999999
200701,16,0,192,6370,"I","01/16/2007 00:00:00",51,"F","Vehicle/Towed Trailer",999999
200701,17,0,493,7276,"D","01/17/2007 00:00:00",51,"F","Outside/Open Areas",999999
200701,5,0,1848,7464,"I","01/05/2007 00:00:00",13,"M","Vehicle/Towed Trailer",999999
200701,5,0,1849,7464,"I","01/05/2007 00:00:00",56,"F","Vehicle/Towed Trailer",999999
200702,1,0,2020,7797,"D","02/01/2007 00:00:00",57,"M","Boating",999999
200701,9,0,290,8481,"D","01/09/2007 00:00:00",73,"M","Unknown",999999
200701,16,0,298,8884,"I","01/16/2007 00:00:00",41,"M","Vehicle/Towed Trailer",999999
200701,15,0,328,9278,"I","01/15/2007 00:00:00",31,"M","Vehicle/Towed Trailer",999999
200701,15,0,329,9278,"I","01/15/2007 00:00:00",26,"M","Vehicle/Towed Trailer",999999
200701,15,0,330,9278,"I","01/15/2007 00:00:00",25,"M","Vehicle/Towed Trailer",999999
200701,14,0,355,9608,"I","01/14/2007 00:00:00",22,"M","Outside/Open Areas",999999
200701,14,0,318,9642,"I","01/14/2007 00:00:00",21,"M","Vehicle/Towed Trailer",999999
200701,13,0,340,10028,"D","01/13/2007 00:00:00",36,"F","In Water",999999
200701,4,0,332,10258,"D","01/04/2007 00:00:00",53,"M","Vehicle/Towed Trailer",999999
200701,12,0,343,10300,"I","01/12/2007 00:00:00",16,"M","Vehicle/Towed Trailer",999999
200701,12,0,344,10300,"I","01/12/2007 00:00:00",81,"M","Vehicle/Towed Trailer",999999
200701,12,0,345,10302,"I","01/12/2007 00:00:00",19,"F","Vehicle/Towed Trailer",999999
200701,20,0,348,10493,"I","01/20/2007 00:00:00",55,"M","Vehicle/Towed Trailer",999999
200701,31,0,339,10633,"I","01/31/2007 00:00:00",32,"M","Outside/Open Areas",999999
200701,20,0,2021,10766,"I","01/20/2007 00:00:00",68,"F","Outside/Open Areas",999999
200701,3,0,347,11031,"D","01/03/2007 00:00:00",70,"M","In Water",999999
200701,20,0,349,11206,"I","01/20/2007 00:00:00",25,"M","Vehicle/Towed Trailer",999999
200701,20,0,350,11206,"I","01/20/2007 00:00:00",22,"F","Vehicle/Towed Trailer",999999
