YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
200702,1662,8014,2,16,"NE","MERIWETHER",33.8136,-81.9733,3348816,8158398
200702,1662,8015,1,12,"WSW","EDGEFIELD",33.7136,-82.1128,3342816,826768
200702,1662,8015,2,6,"N","EDGEFIELD",33.8667,-81.92,3352002,8155200
200702,1662,8016,1,4,"SE","OLAR",33.1391,-81.1312,338346,817872
200702,1662,8016,2,5,"ESE","OLAR",33.1523,-81.1002,339138,816012
200702,1662,8017,1,1,"W","SALUDA",34,-81.7874,3400,8147244
200702,1662,8018,1,5,"S","CHAPIN",34.0977,-81.35,345862,8121000
200702,1662,8018,2,0,"N","CHAPIN",34.17,-81.35,3410200,8121000
200702,1662,10929,1,0,"N","AIKEN",33.55,-81.72,3333000,8143200
200702,1663,8019,1,1,"S","AUGUSTA",33.4655,-81.97,3327930,8158200
200702,1663,8020,1,0,"N","HEPHZIBAH",33.32,-82.1,3319200,826000
200702,1663,8021,1,0,"N","HEPHZIBAH",33.32,-82.1,3319200,826000
200701,1666,8022,1,0,"N","ASHDOWN",33.67,-94.13,3340200,947800
200701,1666,8024,1,0,"N","HOPE",33.67,-93.6,3340200,9336000
200701,1667,8025,1,2,"E","MAUD",33.33,-94.3154,3319800,9418924
200701,1667,8025,2,0,"E","NEW BOSTON",33.45,-94.42,3327000,9425200
200701,1695,8225,1,0,"N","HARVIELL",36.67,-90.47,3640200,9028200
200701,1695,8225,2,0,"N","NEELYVILLE",36.57,-90.5,3634200,9030000
200701,1695,8226,1,0,"N","DONIPHAN",36.62,-90.82,3637200,9049200
200701,1695,8226,2,0,"N","NAYLOR",36.58,-90.6,3634800,9036000
200701,1695,8227,1,0,"N","DEXTER",36.8,-89.95,3648000,8957000
200701,1695,8227,2,0,"N","CIRCLE CITY",36.87,-89.8,3652200,8948000
200701,1695,8228,1,0,"N","EAST PRAIRIE",36.78,-89.38,3646800,8922800
200701,1695,8228,2,3,"E","CHARLESTON",36.92,-89.2758,3655200,8916548
200701,1695,8229,1,0,"N","NEW MADRID",36.6,-89.53,3636000,8931800
200701,1695,8230,1,0,"N","DONIPHAN",36.62,-90.82,3637200,9049200
200701,1695,8231,1,0,"N","WAPPAPELLO",36.93,-90.28,3655800,9016800
200701,1696,8219,1,2,"W","HICKMAN",36.57,-89.216,3634200,8912960
200701,1696,8220,1,2,"E","BLANDVILLE",36.95,-88.9138,3657000,8854828
200701,1696,8221,1,1,"W","ARLINGTON",36.78,-89.0381,3646800,892286
200701,1696,8221,2,2,"W","ARLINGTON",36.78,-89.0561,3646800,893366
200701,1696,8222,1,0,"N","MAYFIELD",36.73,-88.63,3643800,8837800
200701,1696,8223,1,0,"N","COLUMBUS",36.77,-89.1,3646200,896000
200701,1696,8223,2,0,"N","BEELERTON",36.6,-88.87,3636000,8852200
200701,1696,8224,1,0,"N","LONE OAK",37.03,-88.67,371800,8840200
200701,1696,8224,2,0,"N","PADUCAH",37.08,-88.63,374800,8837800
200701,1697,8232,1,0,"N","EVANSVILLE",37.98,-87.55,3758800,8733000
200701,1697,8252,1,0,"N","YANKEETOWN",37.92,-87.3,3755200,8718000
200701,1698,8233,1,0,"N","HENDERSON",37.83,-87.58,3749800,8734800
200701,1698,8244,1,0,"N","LOLA",37.32,-88.3,3719200,8818000
200701,1698,8244,2,0,"N","JOY",37.35,-88.38,3721000,8822800
200701,1698,8245,1,1,"NE","BENTON",36.8802,-88.3372,3652812,8820232
